fiscal_year,report_year,designated_group,subgroup,data_year,value
FY2024-25,2025,Racialized persons,South Asian / East Indian,2018,2.7%
FY2024-25,2025,Racialized persons,South Asian / East Indian,2019,2.9%
FY2024-25,2025,Racialized persons,South Asian / East Indian,2020,3.0%
FY2024-25,2025,Racialized persons,South Asian / East Indian,2021,3.3%
FY2024-25,2025,Racialized persons,South Asian / East Indian,2022,3.7%
FY2024-25,2025,Racialized persons,South Asian / East Indian,2023,4.0%
FY2024-25,2025,Racialized persons,South Asian / East Indian,2024,4.3%
FY2024-25,2025,Racialized persons,South Asian / East Indian,2025,4.4%
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2018,1.7%
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2019,1.8%
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2020,2.0%
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2021,2.1%
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2022,2.3%
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2023,2.6%
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2024,2.8%
FY2024-25,2025,Racialized persons,"Non-White West Asian, North African or Arab",2025,2.9%
FY2024-25,2025,Racialized persons,Southeast Asian,2018,0.7%
FY2024-25,2025,Racialized persons,Southeast Asian,2019,0.7%
FY2024-25,2025,Racialized persons,Southeast Asian,2020,0.8%
FY2024-25,2025,Racialized persons,Southeast Asian,2021,0.8%
FY2024-25,2025,Racialized persons,Southeast Asian,2022,0.9%
FY2024-25,2025,Racialized persons,Southeast Asian,2023,0.9%
FY2024-25,2025,Racialized persons,Southeast Asian,2024,1.1%
FY2024-25,2025,Racialized persons,Southeast Asian,2025,1.5%
FY2024-25,2025,Racialized persons,Other visible minority groups,2018,2.3%
FY2024-25,2025,Racialized persons,Other visible minority groups,2019,2.3%
FY2024-25,2025,Racialized persons,Other visible minority groups,2020,2.3%
FY2024-25,2025,Racialized persons,Other visible minority groups,2021,2.1%
FY2024-25,2025,Racialized persons,Other visible minority groups,2022,2.1%
FY2024-25,2025,Racialized persons,Other visible minority groups,2023,2.1%
FY2024-25,2025,Racialized persons,Other visible minority groups,2024,2.2%
FY2024-25,2025,Racialized persons,Other visible minority groups,2025,2.7%
